211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/bus.png HTTP/1.1" 200 10058
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/green.png HTTP/1.1" 200 1812
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/blue.png HTTP/1.1" 200 1871
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/train.png HTTP/1.1" 200 16685
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/car.png HTTP/1.1" 200 12761
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/instargram.png HTTP/1.1" 200 19125
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/facebook.png HTTP/1.1" 200 14093
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 106496
211.36.139.140 - - [14/Apr/2021:23:21:33 +0900] "GET /dalboo/resources/images/twitter.png HTTP/1.1" 200 16636
211.36.139.140 - - [14/Apr/2021:23:21:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/base.css HTTP/1.1" 200 305
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/footer.css HTTP/1.1" 200 542
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/mainPage.css HTTP/1.1" 200 4101
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/content.css HTTP/1.1" 200 166
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/nav.css HTTP/1.1" 200 1295
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/css/common/header.css HTTP/1.1" 200 447
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/logo.png HTTP/1.1" 200 14232
